Time Step, x CoM, y CoM, z CoM
2200000, -0.040907, 0.050904, 7.944967
2210000, 0.032469, 0.063185, 7.577192
2220000, 0.112879, -0.162733, 8.075766
2230000, -0.008602, -0.129137, 7.273016
2240000, 0.146712, 0.162050, 7.581347
2250000, 0.086741, -0.033753, 7.382692
2260000, -0.019705, 0.180001, 7.665788
2270000, -0.199778, 0.043983, 7.853178
2280000, -0.026252, -0.014029, 7.409799
2290000, 0.069304, 0.056357, 7.998018
2300000, 0.025218, -0.000785, 7.586931
2310000, 0.133647, -0.087239, 7.560042
2320000, -0.097365, 0.029117, 7.431933
2330000, -0.229210, -0.010021, 7.278728
2340000, -0.143317, 0.114217, 7.499881
2350000, -0.032031, -0.035967, 7.831696
2360000, -0.050320, -0.044744, 7.447137
2370000, -0.024347, 0.116112, 7.590212
2380000, 0.091138, 0.068476, 7.410171
2390000, 0.085177, 0.004856, 7.605532
2400000, -0.093733, 0.223853, 7.662763
2410000, 0.012332, 0.079309, 7.882831
2420000, -0.026133, -0.168802, 7.181826
2430000, -0.028760, 0.019494, 7.280749
2440000, -0.009554, -0.027710, 7.617167
2450000, 0.040468, -0.233394, 7.095761
2460000, -0.018408, -0.108014, 7.457067
2470000, -0.017713, -0.091198, 7.321633
2480000, -0.093238, 0.020267, 7.585532
2490000, 0.040664, -0.117211, 7.765809
2500000, 0.124364, -0.095261, 7.715368
2510000, -0.121262, 0.141581, 7.423352
2520000, -0.089730, 0.058893, 7.534373
2530000, 0.009449, 0.064140, 7.843808
2540000, 0.053157, 0.050514, 7.478365
2550000, 0.014379, -0.027882, 7.409141
2560000, -0.027798, 0.002898, 7.718529
2570000, 0.001081, -0.108559, 7.873457
2580000, 0.029083, 0.013557, 7.463418
2590000, -0.062646, -0.075177, 7.330936
2600000, 0.097443, -0.130888, 8.228290
2610000, 0.078260, 0.030658, 7.867886
2620000, -0.044131, 0.007470, 7.299501
2630000, -0.025479, 0.091658, 7.722882
2640000, 0.073974, 0.018098, 7.350588
2650000, 0.124817, 0.016236, 8.215321
2660000, 0.001263, 0.099279, 7.141433
2670000, 0.133182, 0.049467, 7.878759
2680000, -0.067238, -0.049651, 7.722979
2690000, 0.011866, -0.005963, 7.592431
