Time Step, x CoM, y CoM, z CoM
14568000, -0.397249, -0.176366, 0.000001
14572000, -0.355526, -0.298733, 0.000001
14576000, -0.282811, -0.392493, -0.000001
14580000, -0.344729, -0.237900, -0.000000
14584000, -0.315110, -0.238078, 0.000002
14588000, -0.166147, -0.015197, 0.000001
14592000, -0.025686, -0.187208, -0.000000
14596000, -0.013954, -0.259249, 0.000000
14600000, 0.069439, -0.452525, 0.000001
14604000, -0.050027, -0.277955, 0.000000
14608000, 0.059785, -0.139544, -0.000001
14612000, 0.000904, -0.042246, 0.000001
14616000, -0.037173, -0.113302, -0.000001
14620000, -0.007394, -0.191612, 0.000001
14624000, -0.042040, 0.073531, 0.000002
14628000, -0.076493, -0.325260, 0.000001
14632000, 0.118861, -0.133090, -0.000000
14636000, -0.107693, -0.461663, 0.000001
14640000, 0.018509, -0.308689, 0.000000
14644000, 0.086185, -0.378434, 0.000000
14648000, 0.114380, -0.480144, -0.000001
14652000, 0.216031, -0.620228, 0.000001
14656000, -0.046734, -0.546216, -0.000002
14660000, -0.216315, -0.673270, 0.000001
14664000, -0.052407, -0.611397, -0.000000
14668000, -0.299883, -0.698951, 0.000003
14672000, -0.130197, -0.747801, 0.000003
14676000, 0.046476, -0.760930, 0.000000
14680000, 0.060467, -0.894155, -0.000000
14684000, 0.273268, -0.944013, 0.000000
14688000, 0.028609, -0.661811, 0.000001
14692000, -0.069088, -0.788793, 0.000001
14696000, 0.008811, -0.719005, 0.000001
14700000, 0.343887, -0.614883, 0.000001
14704000, 0.132222, -0.751398, 0.000001
14708000, 0.112599, -0.788968, 0.000001
14712000, 0.137741, -0.687951, 0.000000
14716000, 0.147815, -0.696115, -0.000001
14720000, 0.042860, -0.894448, 0.000003
14724000, 0.086200, -1.006980, -0.000002
14728000, 0.167611, -0.800998, -0.000001
14732000, 0.211261, -0.657647, 0.000001
14736000, 0.355749, -0.701822, -0.000001
14740000, 0.350109, -0.709761, 0.000001
14744000, 0.484467, -0.545614, 0.000000
14748000, 0.709447, -0.366924, 0.000002
14752000, 0.624537, -0.320666, -0.000000
14756000, 0.529468, -0.197042, -0.000000
